,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
0,atuona,5,PF,1603225116,75,-9.8,-139.03,77.54,19.44
1,port moresby,100,CD,1603225116,62,-7.03,29.76,78.15,7.65
2,avarua,36,CK,1603225116,88,-21.21,-159.78,77.0,5.82
3,hithadhoo,98,MV,1603225116,80,-0.6,73.08,82.31,14.12
4,san nicolas,0,ML,1603224903,29,13.3,-4.9,86.81,1.14
5,rocha,100,UY,1603224926,85,-34.48,-54.33,52.29,10.58
6,yulara,0,AU,1603225116,72,-25.24,130.99,66.2,8.05
7,singaraja,0,ID,1603225117,64,-8.11,115.09,79.38,3.22
8,butaritari,97,KI,1603224913,76,3.07,172.79,81.77,12.03
9,ushuaia,75,AR,1603225117,59,-54.8,-68.3,44.6,14.99
10,mtambile,0,TZ,1603225117,81,-5.38,39.7,78.19,10.27
11,ixtapa,40,MX,1603225117,70,20.7,-105.2,90.0,9.17
12,amudat,12,UG,1603225117,59,1.95,34.95,74.59,7.38
13,tigil,78,RU,1603225117,96,57.8,158.67,30.61,4.25
14,torbay,75,CA,1603225117,67,47.67,-52.73,60.8,13.87
15,nome,75,US,1603224845,86,64.5,-165.41,33.8,6.93
16,busselton,0,AU,1603225117,66,-33.65,115.33,55.99,7.83
17,kavaratti,100,IN,1603225117,75,10.57,72.64,81.27,10.29
18,esperance,90,AU,1603225117,100,-33.87,121.9,57.2,9.17
19,koslan,71,RU,1603225117,99,63.46,48.9,25.56,1.52
20,sarkand,0,KZ,1603225117,28,45.41,79.92,55.65,4.18
21,faya,0,SA,1603225118,18,18.39,42.45,62.6,8.05
22,new norfolk,75,LR,1603224936,94,6.65,-10.59,78.8,3.85
23,bethel,40,US,1603225118,77,41.37,-73.41,69.01,9.17
24,port elizabeth,100,CD,1603225118,62,-7.03,29.76,78.15,7.65
25,bredasdorp,0,ZA,1603225118,81,-34.53,20.04,50.0,2.24
26,houston,90,US,1603224959,62,29.76,-95.36,89.01,13.87
27,seoul,90,KR,1603224869,71,37.57,126.98,55.4,3.51
28,rikitea,0,PF,1603225118,78,-23.12,-134.97,73.45,14.81
29,fairbanks,90,US,1603225118,85,64.84,-147.72,19.0,1.12
30,pangnirtung,90,CA,1603225118,86,66.15,-65.71,28.4,5.82
31,narsaq,40,GL,1603225118,86,60.92,-46.05,33.8,3.36
