,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
0,huangpi,100,CN,1603221471,87,30.88,114.38,59.0,8.95
1,cortez,1,US,1603221471,16,37.35,-108.59,73.99,11.41
2,rosario,90,AR,1603221472,93,-32.95,-60.64,57.99,9.17
3,dukat,84,RU,1603221472,95,62.55,155.55,10.8,2.17
4,ushuaia,75,AR,1603221472,56,-54.8,-68.3,44.6,16.11
5,avarua,36,CK,1603221472,94,-21.21,-159.78,75.2,8.05
6,cairns,79,AU,1603221280,88,-16.92,145.77,69.8,1.12
7,hobart,75,AU,1603221300,81,-42.88,147.33,53.6,3.36
8,vila,100,PT,1603221472,94,42.03,-8.16,55.0,5.19
9,cidreira,16,BR,1603221386,80,-30.18,-50.21,72.03,9.8
10,tuktoyaktuk,90,CA,1603221395,85,69.45,-133.04,23.0,16.11
11,klaksvik,65,FO,1603221404,71,62.23,-6.59,39.2,5.82
12,lingao,100,CN,1603221472,77,19.91,109.69,73.27,14.38
13,port lincoln,100,CD,1603221472,61,-7.03,29.76,78.4,7.54
14,mataura,73,NZ,1603221472,91,-46.19,168.86,44.01,4.0
15,bengkulu,100,ID,1603221473,80,-3.8,102.27,77.05,3.49
16,fairbanks,90,US,1603221303,85,64.84,-147.72,18.0,2.24
17,aksha,0,RU,1603221473,84,50.28,113.29,23.92,14.16
18,cherskiy,90,RU,1603221407,96,68.75,161.3,19.45,5.55
19,rikitea,0,PF,1603221473,79,-23.12,-134.97,73.33,14.65
20,punta arenas,100,PH,1603221473,90,8.99,125.34,77.13,3.62
21,chuy,100,UY,1603221404,82,-33.7,-53.46,55.24,15.64
22,hermanus,0,ZA,1603221473,78,-34.42,19.23,55.0,3.56
23,tres arroyos,90,IT,1603221473,100,46.32,11.1,52.0,5.82
24,avera,1,US,1603221473,57,33.19,-82.53,78.8,8.05
25,bambous virieux,20,MU,1603221473,73,-20.26,57.41,75.99,10.29
26,mackenzie,1,CA,1603221302,69,55.3,-123.17,37.4,8.05
27,atuona,0,PF,1603221365,75,-9.8,-139.03,77.47,19.04
28,jamestown,90,US,1603221473,93,42.1,-79.24,48.99,6.93
29,port elizabeth,100,CD,1603221473,61,-7.03,29.76,78.4,7.54
30,cape town,0,CL,1603221474,38,-36.41,-71.9,73.4,12.75
31,narsaq,75,GL,1603221474,86,60.92,-46.05,37.4,4.7
32,butaritari,100,KI,1603221376,76,3.07,172.79,81.73,12.15
33,hilo,1,US,1603221436,58,19.73,-155.09,82.4,5.82
34,mar del plata,20,ES,1603221474,53,43.4,-4.01,73.4,12.75
35,sao jose da coroa grande,5,IN,1603221426,82,20.51,76.21,74.55,3.27
36,bethel,75,US,1603221474,77,41.37,-73.41,69.01,5.82
37,sidney,20,AU,1603221262,82,-33.87,151.21,60.8,5.82
38,redlands,5,US,1603221366,41,34.06,-117.18,82.0,4.16
39,west wendover,40,US,1603221474,58,31.8,-97.09,87.8,9.17
40,van wert,40,TR,1603221474,57,38.49,43.38,48.2,3.67
41,cao bang,100,ES,1603221474,82,43.14,-5.7,60.01,1.28
42,zhezkazgan,0,KZ,1603221474,35,47.8,67.71,48.29,5.75
43,ponta do sol,40,PT,1603221475,63,38.73,-28.27,62.6,8.05
44,bredasdorp,0,ZA,1603221355,76,-34.53,20.04,53.6,2.24
45,nikolskoye,75,RU,1603221475,80,59.7,30.79,36.0,4.47
46,sao joao da barra,5,IN,1603221426,82,20.51,76.21,74.55,3.27
47,tasiilaq,75,GL,1603221397,94,65.61,-37.64,32.0,17.22
48,opuwo,0,NA,1603221475,23,-18.06,13.84,74.48,8.3
49,grimshaw,75,CA,1603221475,92,56.18,-117.6,21.2,5.82
50,saint-francois,100,FR,1603221475,59,46.42,3.91,62.01,18.34
51,aklavik,90,CA,1603221475,85,68.22,-135.01,23.0,14.99
52,norman wells,90,US,1603221475,82,35.22,-97.44,71.01,11.41
53,sao filipe,5,IN,1603221426,82,20.51,76.21,74.55,3.27
54,pacifica,90,US,1603221475,87,37.61,-122.49,75.99,4.29
55,outlook,100,CA,1603221475,71,51.5,-107.05,28.99,3.0
56,iqaluit,90,CA,1603221476,92,63.75,-68.51,30.0,9.17
57,bluff,83,NZ,1603221476,91,-46.6,168.33,44.01,4.0
58,albany,100,US,1603221476,77,42.6,-73.97,66.0,0.56
59,kapaa,75,US,1603221476,88,22.08,-159.32,77.0,8.05
60,geraldton,90,AU,1603221476,72,-28.77,114.6,66.2,16.11
61,katobu,32,ID,1603221464,82,-4.94,122.53,73.81,3.33
62,upernavik,100,GL,1603221371,86,72.79,-56.15,33.28,6.85
63,vaini,20,TO,1603221476,69,-21.2,-175.2,73.4,8.05
64,krasnokamensk,100,RU,1603221476,96,50.1,118.04,30.61,13.29
65,mandalgovi,100,MN,1603221476,81,45.76,106.27,20.48,10.02
66,hede,100,CN,1603221476,82,33.77,120.25,59.61,3.67
67,katherine,0,AU,1603221444,61,-14.47,132.27,82.4,3.36
68,zhenlai,100,CN,1603221477,40,45.85,123.3,55.53,18.57
69,dikson,100,RU,1603221386,96,73.51,80.55,21.45,5.37
70,college,90,US,1603221200,78,64.86,-147.8,18.0,0.78
71,grand river south east,1,US,1603221477,13,38.88,-109.5,78.01,11.41
72,flinders,7,AU,1603221477,88,-34.58,150.86,61.0,1.01
73,imeni morozova,60,NG,1603221477,78,7.32,5.96,76.59,2.71
74,portales,1,US,1603221477,21,34.19,-103.33,82.4,10.29
75,pareora,75,NZ,1603221477,97,-44.49,171.21,51.01,2.64
76,kodiak,1,US,1603221362,52,57.79,-152.41,44.6,9.17
77,mys shmidta,100,RU,1603221477,99,62.06,48.62,30.54,4.23
78,poum,0,NC,1603221477,71,-20.23,164.02,73.89,5.48
79,marmande,63,FR,1603221477,81,44.5,0.17,64.99,11.99
80,hermosillo,5,MX,1603221296,11,29.07,-110.97,98.01,4.7
81,rayagada,74,IN,1603221478,86,19.17,83.42,74.28,3.22
82,provideniya,100,RU,1603221478,95,64.38,-173.3,40.35,14.76
