,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
0,rikitea,24,PF,1603245031,75,-23.12,-134.97,74.08,9.31
1,albany,100,US,1603245057,81,42.6,-73.97,57.0,4.03
2,lasa,5,IT,1603245223,100,46.62,10.7,48.99,5.82
3,gorey,57,IE,1603245223,92,52.67,-6.29,46.0,7.27
4,shenjiamen,100,CN,1603245223,78,29.96,122.3,68.43,13.02
5,hobart,40,AU,1603245213,51,-42.88,147.33,68.0,8.05
6,barrow,90,US,1603245223,86,71.29,-156.79,26.6,13.87
7,katsuura,7,JP,1603245101,52,35.13,140.3,69.01,19.39
8,kodiak,1,US,1603245223,42,57.79,-152.41,48.2,16.11
9,impfondo,52,CG,1603245223,98,1.64,18.07,69.67,1.77
10,atuona,79,PF,1603245081,75,-9.8,-139.03,77.97,15.12
11,tuatapere,68,NZ,1603245071,61,-46.13,167.68,57.0,11.01
12,capoterra,40,IT,1603245224,77,39.18,8.97,66.2,12.75
13,mataura,17,NZ,1603245134,61,-46.19,168.86,57.0,11.01
14,cabedelo,75,BR,1603244729,94,-6.98,-34.83,75.2,8.05
15,raudeberg,100,NO,1603245224,93,61.99,5.14,44.01,11.41
16,spearfish,90,US,1603245224,95,44.49,-103.86,34.0,3.36
17,ribas do rio pardo,80,PT,1603245224,89,41.45,-8.02,55.99,4.32
18,narsaq,100,GL,1603244478,86,60.92,-46.05,30.2,2.24
19,nikolskoye,100,RU,1603245079,92,59.7,30.79,30.0,3.44
20,buchanan,88,LR,1603245224,88,5.88,-10.05,76.93,4.16
21,erenhot,100,CN,1603245224,77,43.65,111.98,31.93,15.39
22,puerto del rosario,20,ES,1603245224,93,36.59,-6.23,66.2,12.75
23,samarai,96,PG,1603245224,79,-10.62,150.67,81.16,9.6
24,grants pass,1,US,1603245224,14,35.15,-107.85,57.2,5.82
25,busselton,0,AU,1603245045,41,-33.65,115.33,70.0,6.29
26,naze,75,JP,1603245060,74,28.37,129.48,80.6,14.99
27,farafangana,12,MG,1603245224,89,-22.82,47.83,69.82,6.24
28,ushuaia,75,AR,1603244995,75,-54.8,-68.3,41.0,5.82
29,khatanga,83,RU,1603245159,95,71.97,102.5,6.48,8.52
